WKT,FEAT_DESC,NAME,PERENNIAL,HIERARCHY,MAP_LEGEND,PERIMETER,HECTARES,myarea,myperim
"MULTIPOLYGON (((117.17951 -20.73038,117.17951 -20.73129,117.17831 -20.73264,117.17671 -20.73324,117.17302 -20.73648,117.17206 -20.73806,117.17206 -20.73863,117.17158 -20.73896,117.16774 -20.73975,117.16545 -20.73986,117.16125 -20.73771,117.15681 -20.73692,117.15429 -20.73692,117.15189 -20.73579,117.15021 -20.73409,117.14889 -20.73183,117.14685 -20.73183,117.14637 -20.73228,117.14528 -20.73409,117.14396 -20.73521,117.14288 -20.73804,117.14276 -20.73939,117.143 -20.74143,117.14395 -20.74357,117.14684 -20.74606,117.14779 -20.74809,117.14762 -20.74947,117.14729 -20.74927,117.14692 -20.74906,117.14635 -20.74719,117.14395 -20.7447,117.14295 -20.74493,117.14132 -20.73973,117.14202 -20.73749,117.1436 -20.73375,117.14565 -20.73115,117.14649 -20.73081,117.14745 -20.73081,117.14829 -20.73036,117.1494 -20.73052,117.15019 -20.73122,117.15213 -20.73409,117.15381 -20.73466,117.15513 -20.73601,117.15597 -20.73613,117.15669 -20.73568,117.15669 -20.73421,117.15741 -20.73319,117.16006 -20.73094,117.16114 -20.72936,117.16162 -20.7271,117.1627 -20.72597,117.16414 -20.72529,117.16715 -20.72224,117.17147 -20.72021,117.17477 -20.71786,117.1764 -20.71728,117.17724 -20.71638,117.17748 -20.71525,117.17712 -20.71468,117.1763 -20.71464,117.17652 -20.71344,117.17604 -20.71265,117.17604 -20.71152,117.17509 -20.71035,117.17736 -20.71084,117.17808 -20.71163,117.1788 -20.71367,117.17939 -20.71348,117.17969 -20.71471,117.17904 -20.71559,117.17892 -20.7192,117.17755 -20.72209,117.17634 -20.72342,117.16883 -20.72473,117.16703 -20.72462,117.16582 -20.72574,117.16282 -20.72721,117.16234 -20.72823,117.16234 -20.72947,117.16186 -20.73037,117.15801 -20.73376,117.15753 -20.73477,117.15765 -20.73534,117.15825 -20.7359,117.16053 -20.73602,117.16546 -20.73839,117.1693 -20.73851,117.1711 -20.73761,117.17278 -20.73456,117.17435 -20.73309,117.17747 -20.73197,117.17883 -20.73072,117.17951 -20.73038),(117.17292 -20.72,117.16689 -20.7236,117.17003 -20.7236,117.17219 -20.72304,117.17375 -20.72315,117.17601 -20.72197,117.17688 -20.72157,117.17712 -20.72101,117.17736 -20.71886,117.17664 -20.71852,117.17292 -20.72)))",Lake,,Perennial,Not applicable,Perennial Lake,24278.975,156.270,"1562694","24288"
"MULTIPOLYGON (((119.58216 -20.50893,119.58275 -20.50842,119.58252 -20.50741,119.58093 -20.50475,119.57961 -20.50385,119.57877 -20.50306,119.5777 -20.50125,119.57794 -20.49956,119.5791 -20.49826,119.58141 -20.499,119.58249 -20.4999,119.58225 -20.50024,119.58201 -20.50013,119.58081 -20.49911,119.5795 -20.49888,119.57866 -20.49945,119.5783 -20.50024,119.57842 -20.50136,119.57937 -20.50295,119.58009 -20.50362,119.58141 -20.5043,119.58451 -20.50735,119.58763 -20.5086,119.59265 -20.5112,119.59409 -20.51222,119.5948 -20.51346,119.59732 -20.51425,119.59852 -20.51493,119.59959 -20.51606,119.60139 -20.51719,119.60474 -20.51934,119.61048 -20.52149,119.61192 -20.52172,119.61539 -20.52082,119.61659 -20.52093,119.61755 -20.52139,119.6188 -20.52115,119.62174 -20.52263,119.62856 -20.5249,119.63096 -20.52535,119.63275 -20.52535,119.64148 -20.52242,119.64294 -20.52311,119.64653 -20.52244,119.64773 -20.52244,119.64916 -20.52289,119.65024 -20.52289,119.6512 -20.52323,119.65264 -20.52323,119.65599 -20.52481,119.65826 -20.52504,119.66078 -20.52674,119.66293 -20.52888,119.66568 -20.53069,119.6676 -20.53114,119.67328 -20.53264,119.6761 -20.53217,119.6791 -20.53127,119.68043 -20.52992,119.68437 -20.5271,119.68545 -20.52654,119.68773 -20.5262,119.68844 -20.52643,119.69072 -20.5271,119.69228 -20.52722,119.69359 -20.52778,119.69583 -20.52797,119.69647 -20.52908,119.69551 -20.52869,119.69395 -20.52812,119.69029 -20.52775,119.68832 -20.52688,119.68713 -20.52688,119.68545 -20.52721,119.68221 -20.52924,119.68078 -20.53082,119.67898 -20.53183,119.6785 -20.53199,119.67634 -20.53273,119.67442 -20.53318,119.67188 -20.53284,119.66533 -20.53103,119.66269 -20.52933,119.65826 -20.52606,119.65132 -20.52357,119.64944 -20.52344,119.64713 -20.52289,119.64389 -20.52356,119.64215 -20.52356,119.6403 -20.52333,119.63299 -20.5258,119.63168 -20.52592,119.6282 -20.52535,119.62198 -20.52331,119.61887 -20.52184,119.61695 -20.52184,119.61575 -20.52127,119.61445 -20.52157,119.61192 -20.52217,119.61076 -20.52224,119.60725 -20.52091,119.60474 -20.52001,119.59887 -20.51617,119.59684 -20.51504,119.59444 -20.51413,119.59345 -20.51383,119.5915 -20.51334,119.59231 -20.51272,119.59301 -20.51222,119.59105 -20.51132,119.59002 -20.51086,119.58679 -20.50893,119.58437 -20.50806,119.58328 -20.5093,119.58285 -20.5095,119.58166 -20.51005,119.58216 -20.50893)))",Lake,MULYIE POOL,Perennial,Not applicable,Perennial Lake,29975.014,102.789,"1027891","30057"
"MULTIPOLYGON (((119.93592 -22.59119,119.93594 -22.5912,119.93772 -22.59399,119.93894 -22.59523,119.93877 -22.59573,119.93797 -22.59546,119.93724 -22.59479,119.93628 -22.59353,119.93626 -22.59321,119.93565 -22.59231,119.93394 -22.59062,119.93272 -22.58984,119.93101 -22.58827,119.9304 -22.58692,119.93027 -22.58601,119.93013 -22.58173,119.92951 -22.5797,119.92902 -22.57891,119.92646 -22.57666,119.92525 -22.57656,119.92428 -22.57701,119.92234 -22.57837,119.92113 -22.57872,119.92015 -22.57872,119.91797 -22.57817,119.91444 -22.57795,119.91237 -22.57751,119.90994 -22.57673,119.90824 -22.57595,119.90665 -22.57505,119.90543 -22.57393,119.90434 -22.57371,119.90373 -22.57394,119.90228 -22.57507,119.90131 -22.57541,119.90046 -22.5753,119.89936 -22.57452,119.89875 -22.57373,119.89753 -22.5717,119.89764 -22.56956,119.89888 -22.56719,119.89921 -22.56775,119.89922 -22.56921,119.89886 -22.57057,119.89887 -22.57192,119.89911 -22.57249,119.90021 -22.57372,119.90082 -22.57395,119.90155 -22.57372,119.90264 -22.57292,119.90433 -22.57213,119.9053 -22.57212,119.90603 -22.57246,119.90689 -22.57347,119.90848 -22.57482,119.90994 -22.57549,119.91371 -22.57649,119.91747 -22.5767,119.91954 -22.57726,119.92112 -22.57725,119.92221 -22.57691,119.92463 -22.57543,119.92593 -22.57515,119.92731 -22.57587,119.92889 -22.5771,119.92975 -22.57789,119.93036 -22.5789,119.93073 -22.58014,119.93074 -22.5815,119.93123 -22.58308,119.93124 -22.58624,119.93174 -22.58759,119.9343 -22.58961,119.93564 -22.59096,119.93592 -22.59119)))",Lake,,Perennial,Not applicable,Perennial Lake,13084.780,81.506,"815057","13090"
"MULTIPOLYGON (((121.04407 -21.496,121.04407 -21.49555,121.0431 -21.49419,121.04177 -21.49171,121.0408 -21.49081,121.0408 -21.49036,121.04019 -21.4898,121.03874 -21.48912,121.03355 -21.48812,121.02987 -21.48814,121.0268 -21.48678,121.02631 -21.48576,121.02606 -21.48272,121.0246 -21.47865,121.02448 -21.47584,121.02593 -21.47606,121.02725 -21.47662,121.02751 -21.48463,121.028 -21.48554,121.02933 -21.48643,121.03814 -21.48777,121.04067 -21.48889,121.04212 -21.48991,121.04225 -21.49024,121.04368 -21.49169,121.04382 -21.49204,121.04395 -21.4943,121.04467 -21.49521,121.04564 -21.49566,121.04589 -21.49802,121.04613 -21.49825,121.04649 -21.49949,121.0477 -21.50129,121.04819 -21.50265,121.04988 -21.50456,121.05097 -21.50512,121.05314 -21.50568,121.05496 -21.50703,121.05448 -21.50726,121.0494 -21.50535,121.04747 -21.50344,121.04577 -21.50073,121.04492 -21.49893,121.04443 -21.49611,121.04407 -21.496)))",Lake,CARAWINE POOL,Perennial,Not applicable,Perennial Lake,10730.063,72.667,"726668","10726"
"MULTIPOLYGON (((120.59717 -21.04151,120.59874 -21.04106,120.60403 -21.03722,120.60896 -21.03349,120.61004 -21.03214,120.61135 -21.03001,120.612 -21.02913,120.61377 -21.02683,120.6181 -21.02277,120.61942 -21.02266,120.62122 -21.0213,120.62375 -21.01995,120.62796 -21.01916,120.62856 -21.01916,120.63024 -21.01893,120.63599 -21.01737,120.63668 -21.01744,120.63612 -21.01781,120.63481 -21.01841,120.62892 -21.02018,120.62579 -21.0204,120.62339 -21.02108,120.62147 -21.02221,120.6205 -21.023,120.6175 -21.02458,120.61666 -21.02514,120.61413 -21.02763,120.61329 -21.02887,120.61308 -21.02934,120.61353 -21.02966,120.61341 -21.03011,120.61052 -21.03316,120.60463 -21.03812,120.60246 -21.0397,120.59874 -21.04219,120.59633 -21.04444,120.59356 -21.0476,120.59236 -21.04816,120.59224 -21.04726,120.59296 -21.04625,120.59657 -21.04263,120.59717 -21.04151)))",Lake,,Perennial,Not applicable,Perennial Lake,11995.142,62.852,"628525","12012"
"MULTIPOLYGON (((116.5775 -20.81194,116.57472 -20.80975,116.57137 -20.80792,116.57029 -20.80658,116.56758 -20.80573,116.56334 -20.80332,116.56869 -20.80497,116.56688 -20.80351,116.56664 -20.80261,116.56603 -20.80198,116.56533 -20.80145,116.5632 -20.8011,116.5611 -20.79947,116.56038 -20.79936,116.55881 -20.79824,116.55797 -20.79802,116.55652 -20.79656,116.55328 -20.79646,116.55067 -20.79721,116.54715 -20.7949,116.54554 -20.79388,116.54584 -20.79368,116.54622 -20.79344,116.54943 -20.7958,116.55027 -20.79613,116.55135 -20.79613,116.55336 -20.79531,116.55501 -20.7954,116.55568 -20.79543,116.55816 -20.79629,116.56193 -20.798,116.56629 -20.80134,116.56736 -20.80205,116.56989 -20.80483,116.57612 -20.80923,116.57631 -20.80976,116.57692 -20.81043,116.57783 -20.81046,116.58038 -20.81204,116.58403 -20.81372,116.58322 -20.81377,116.58231 -20.81384,116.5793 -20.81227,116.5775 -20.81194)))",Lake,CHARRAOWIE POOL,Perennial,Not applicable,Perennial Lake,10812.969,61.732,"617321","10838"
"MULTIPOLYGON (((120.56298 -21.12716,120.56298 -21.12874,120.56322 -21.12885,120.5637 -21.12795,120.5637 -21.12569,120.56358 -21.1249,120.56286 -21.12355,120.56166 -21.12084,120.56142 -21.11745,120.56178 -21.11677,120.56202 -21.11418,120.56178 -21.11373,120.56106 -21.10989,120.55974 -21.10775,120.5595 -21.10515,120.55974 -21.10425,120.56011 -21.10368,120.56023 -21.0994,120.55999 -21.09894,120.55975 -21.09759,120.56059 -21.09714,120.56083 -21.09555,120.56143 -21.09624,120.56119 -21.10334,120.56083 -21.10414,120.56095 -21.10786,120.56155 -21.10887,120.56263 -21.11317,120.56286 -21.12028,120.56407 -21.1231,120.56443 -21.12366,120.56491 -21.12546,120.56466 -21.12851,120.5643 -21.12953,120.56382 -21.13021,120.56117 -21.13303,120.55985 -21.13382,120.5584 -21.13438,120.55852 -21.13382,120.55961 -21.13314,120.56105 -21.13178,120.56202 -21.13009,120.56214 -21.1284,120.56238 -21.1275,120.56298 -21.12716)))",Lake,,Perennial,Not applicable,Perennial Lake,9808.866,53.819,"538190","9769"
"MULTIPOLYGON (((118.13005 -20.39303,118.13212 -20.39109,118.13487 -20.39001,118.13546 -20.38921,118.13486 -20.38869,118.13402 -20.38798,118.13425 -20.38719,118.13347 -20.38646,118.1334 -20.3855,118.13472 -20.38526,118.13472 -20.38481,118.13435 -20.38436,118.13387 -20.38369,118.13425 -20.38326,118.13449 -20.38299,118.13671 -20.38455,118.13675 -20.38458,118.13712 -20.38525,118.13748 -20.38649,118.13821 -20.38717,118.13928 -20.38637,118.14011 -20.38501,118.14071 -20.38501,118.14131 -20.38602,118.14216 -20.38647,118.14204 -20.38704,118.14288 -20.38821,118.14246 -20.38846,118.13917 -20.38874,118.13798 -20.38977,118.13668 -20.39203,118.13584 -20.39271,118.13547 -20.39158,118.13499 -20.39114,118.13392 -20.39137,118.13284 -20.39216,118.13213 -20.39318,118.13034 -20.39387,118.12998 -20.39364,118.13005 -20.39303)))",Lake,,Perennial,Not applicable,Perennial Lake,5012.229,50.634,"506335","5013"
"MULTIPOLYGON (((120.59063 -20.7307,120.58968 -20.7307,120.58502 -20.72702,120.57897 -20.72372,120.5742 -20.72268,120.56981 -20.72011,120.56822 -20.71862,120.56831 -20.71767,120.56891 -20.71746,120.57071 -20.71905,120.57469 -20.72139,120.57653 -20.72171,120.57458 -20.72019,120.5746 -20.71954,120.57519 -20.71912,120.57592 -20.71925,120.57972 -20.72256,120.58584 -20.7259,120.58977 -20.72872,120.5905 -20.7296,120.59063 -20.7307)))",Lake,,Perennial,Not applicable,Perennial Lake,6373.597,48.602,"486017","6384"
"MULTIPOLYGON (((120.6309 -20.76543,120.63036 -20.76508,120.62906 -20.76148,120.62805 -20.75395,120.62794 -20.75337,120.62719 -20.75163,120.62642 -20.7508,120.62283 -20.74918,120.61772 -20.74894,120.61473 -20.74958,120.61404 -20.74905,120.61442 -20.74829,120.61756 -20.74758,120.62117 -20.74761,120.62324 -20.74787,120.62731 -20.7497,120.62844 -20.75091,120.62934 -20.75302,120.63047 -20.76118,120.63169 -20.76456,120.63152 -20.76524,120.6309 -20.76543)))",Lake,,Perennial,Not applicable,Perennial Lake,6461.229,46.673,"466729","6458"
